eval/accumulated_cost0,eval/accumulated_cost1,eval/accumulated_cost2,eval/episode_cost_mean0,eval/episode_cost_mean1,eval/episode_cost_mean2,eval/episode_reward_mean0,eval/episode_reward_mean1,eval/episode_reward_mean2,timestep
0.0,30.0,30.0,0.0,190.2,184.2,1423.9569684034834,856.5899730568788,858.8131715984748,0
30.0,55.0,60.0,0.2,15.3,188.9,1426.3435525645307,896.2301372971621,859.1521619156296,1
60.0,85.0,90.0,1.9,16.2,17.7,1439.7120401145069,882.2876848129324,879.4283321681025,2
60.0,115.0,120.0,2.0,13.0,18.0,1385.503764258173,893.7190711859193,922.6134838375774,3
90.0,125.0,150.0,0.0,17.3,14.2,1480.1182565311808,904.5839019482407,894.8162062500203,4
120.0,155.0,170.0,0.0,17.0,15.5,1394.1428055528681,881.9504268473096,911.0357689195362,5
120.0,185.0,200.0,0.0,12.4,14.3,1421.1260181565544,906.6168414517548,880.278793386301,6
150.0,196.0,230.0,0.0,16.4,12.2,1394.7015325292653,895.0915599411567,898.9742833610923,7
180.0,226.0,239.0,0.0,17.9,13.8,1423.5757439239676,906.5635746340529,860.5592128999015,8
180.0,256.0,269.0,0.0,11.3,18.8,1423.1734163763874,888.0705011266961,918.2210403483234,9
